               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10168,            0.024743,            0.031118,             0.50906,             0.08577,             0.11994,             0.04104,            0.078636,            0.023237,            0.020217,            0.070448,           0.0032836,           0.0032836
                   1,            0.074109,            0.023215,            0.019124,             0.14592,             0.48634,             0.20295,            0.049157,            0.071784,            0.016376,            0.017392,            0.040229,           0.0063986,           0.0063986
                   2,            0.067633,            0.018945,            0.017945,             0.34415,             0.45818,             0.40825,             0.17663,            0.055703,            0.014663,            0.015948,            0.009791,           0.0092935,           0.0092935
                   3,            0.062229,            0.016915,            0.014837,             0.44281,             0.73405,             0.59136,             0.27531,             0.05178,            0.013092,            0.010025,             0.00901,             0.00901,             0.00901
                   4,            0.053435,            0.015211,            0.011176,             0.61037,             0.68265,             0.66431,             0.29626,            0.049828,            0.011975,           0.0068283,             0.00901,             0.00901,             0.00901
                   5,            0.049983,            0.014931,           0.0085459,             0.77181,             0.72603,             0.76597,             0.28963,            0.045188,            0.011396,           0.0066639,             0.00868,             0.00868,             0.00868
                   6,            0.046143,            0.014431,           0.0077677,             0.79361,             0.76435,             0.81398,             0.41605,            0.038693,            0.011176,           0.0078616,             0.00835,             0.00835,             0.00835
                   7,            0.044167,            0.014121,           0.0064115,             0.78901,             0.81172,             0.80419,             0.39318,            0.037976,            0.011135,           0.0061133,             0.00802,             0.00802,             0.00802
                   8,            0.042006,            0.014147,           0.0067366,             0.74293,             0.78207,             0.79158,             0.41728,            0.040253,            0.010676,           0.0084313,             0.00769,             0.00769,             0.00769
                   9,            0.040107,             0.01342,           0.0056651,             0.82169,             0.80552,             0.82719,              0.4517,            0.035819,            0.010608,           0.0060176,             0.00736,             0.00736,             0.00736
                  10,            0.038807,            0.013225,           0.0053168,             0.80188,             0.76065,             0.77554,             0.39919,            0.037293,            0.010867,           0.0077611,             0.00703,             0.00703,             0.00703
                  11,            0.038881,            0.013342,           0.0050025,             0.83926,             0.75661,              0.8193,              0.4577,            0.034469,            0.010569,           0.0074203,              0.0067,              0.0067,              0.0067
                  12,            0.037922,            0.013468,           0.0048241,             0.80811,             0.76822,             0.81194,             0.43097,            0.035638,            0.010386,           0.0078455,             0.00637,             0.00637,             0.00637
                  13,            0.036482,            0.012799,           0.0043664,             0.82972,             0.81431,             0.84212,             0.44761,            0.034227,            0.010186,           0.0056421,             0.00604,             0.00604,             0.00604
                  14,             0.03612,            0.013055,           0.0047849,             0.79003,             0.82033,             0.83941,             0.44478,            0.034781,            0.010329,           0.0061345,             0.00571,             0.00571,             0.00571
                  15,            0.034836,            0.012601,           0.0038809,             0.81789,             0.81649,             0.82917,             0.46893,            0.033526,            0.010255,           0.0059465,             0.00538,             0.00538,             0.00538
                  16,            0.034733,            0.012702,           0.0039154,             0.79262,             0.81779,             0.83094,              0.4729,            0.033647,            0.010328,           0.0070273,             0.00505,             0.00505,             0.00505
                  17,            0.034055,            0.012919,           0.0034501,               0.806,              0.7767,             0.82157,               0.476,            0.032484,            0.010437,           0.0061369,             0.00472,             0.00472,             0.00472
